,0,1,2,3,4,5,6,7,,Some boltzmann math on row 7
0,FOLDER NAME,COMPOSITION,NO. ATOMS,TOTAL ENERGY,ENERGY / ATOM,CHECK_CONV RESULT,FLAGS?,Probability,energy pop,
57,14\Ni14_2026\RUN,Li20 Mn2 Co4 Ni14 O40,80,-416.9487109,-5.211858886,TRUE,,0.9991189372,-5.207266911,
58,14\Ni14_2028\RUN,Li20 Mn2 Co4 Ni14 O40,80,-416.9412487,-5.211765608,TRUE,,0.9991219464,-5.207189399,
59,14\Ni14_2032\RUN,Li20 Mn2 Co4 Ni14 O40,80,-417.7430552,-5.22178819,TRUE,,0.998798657,-5.215515031,
60,14\Ni14_511\RUN,Li20 Mn2 Co4 Ni14 O40,80,-415.4871498,-5.193589372,TRUE,,0.999708508,-5.192075482,
61,14\Ni14_767\RUN,Li20 Mn2 Co4 Ni14 O40,80,-415.0054833,-5.187568541,TRUE,4th,0.9999028809,-5.187064729,
62,14\Ni14_895\RUN,Li20 Mn2 Co4 Ni14 O40,80,-415.9569465,-5.199461831,TRUE,,0.9995189615,-5.196960689,
63,14\Ni14_959\RUN,Li20 Mn2 Co4 Ni14 O40,80,-415.6068962,-5.195086202,TRUE,,0.9996601911,-5.193320866,
64,14\Ni14_991\RUN,Li20 Mn2 Co4 Ni14 O40,80,-415.9926254,-5.199907817,TRUE,,0.9995045677,-5.197331615,
65,Ni7_15\RUN,Li10 Mn1 Co2 Ni7 O20,40,-206.8265941,-5.170664852,TRUE,,1,-5.170664852,
66,Ni7_23\RUN,Li10 Mn1 Co2 Ni7 O20,40,-207.7584927,-5.193962318,TRUE,,0.9996239369,-5.19200906,
67,Ni7_27\RUN,Li10 Mn1 Co2 Ni7 O20,40,-209.3974312,-5.234935779,TRUE,,0.9989628944,-5.229506598,
68,Ni7_29\RUN,Li10 Mn1 Co2 Ni7 O20,40,-209.3973437,-5.234933593,TRUE,,0.9989629297,-5.229504598,
69,SURFACE,Li20 Mn2 Co4 Ni14 O40,80,-416.6301876,-5.207877345,AVERAGES,,Boltzman AVERAGES,-5.20395424,
69,BULK,Li10 Mn1 Co2 Ni7 O20,40,-208.3449654,-5.208624135,AVERAGES,,Boltzman AVERAGES,-5.205421277,-1.467036983
